index,color,RedCount,BlueCount,GreenCount,YellowCount,BlackCount
957,blue,198,211,194,166,188
958,blue,198,212,194,166,188
959,green,198,212,195,166,188
960,blue,198,213,195,166,188
961,black,198,213,195,166,189
962,blue,198,214,195,166,189
963,yellow,198,214,195,167,189
964,blue,198,215,195,167,189
965,red,199,215,195,167,189
966,green,199,215,196,167,189
967,yellow,199,215,196,168,189
968,yellow,199,215,196,169,189
969,red,200,215,196,169,189
970,yellow,200,215,196,170,189
971,green,200,215,197,170,189
972,yellow,200,215,197,171,189
973,blue,200,216,197,171,189
974,yellow,200,216,197,172,189
975,blue,200,217,197,172,189
976,blue,200,218,197,172,189
977,black,200,218,197,172,190
978,yellow,200,218,197,173,190
979,green,200,218,198,173,190
980,blue,200,219,198,173,190
981,yellow,200,219,198,174,190
982,blue,200,220,198,174,190
983,red,201,220,198,174,190
984,yellow,201,220,198,175,190
985,black,201,220,198,175,191
986,red,202,220,198,175,191
987,red,203,220,198,175,191
988,black,203,220,198,175,192
989,green,203,220,199,175,192
990,black,203,220,199,175,193
991,green,203,220,200,175,193
992,red,204,220,200,175,193
993,black,204,220,200,175,194
994,blue,204,221,200,175,194
995,black,204,221,200,175,195
996,blue,204,222,200,175,195
997,blue,204,223,200,175,195
998,black,204,223,200,175,196
999,yellow,204,223,200,176,196
1000,blue,204,224,200,176,196
